id,name,description,rarity,category,trigger,condition,effect,element,magnitude,magnitude2,suppresses_base_use
adrenaline,Adrenaline,"Swings get faster as your health drops, up to 40% faster.",Rare,trigger,passive,self_low_hp,stat_mult,cooldown,0.6,0,No
combo_keeper,Combo Keeper,"Every 5th hit is a guaranteed critical.",Uncommon,trigger,every_n_hits,,stat_add,crit_chance,1.0,5,No
homing_hex,Homing Hex,"Every swing looses a bolt that curves toward the nearest foe.",Uncommon,projectile,on_swing,,spawn_projectile,,1,0,No
chain_spark,Chain Spark,"Critical hits arc lightning to nearby enemies, with a chance to stun.",Rare,projectile,on_crit,,spawn_projectile,lightning,3,0,No
ricochet_shard,Ricochet Shard,"Swings fling a shard that ricochets off walls, striking again.",Uncommon,projectile,on_swing,,spawn_projectile,,1,3,No
piercing_lance,Piercing Lance,"Looses a lance that skewers every foe in a line.",Uncommon,projectile,on_swing,,spawn_projectile,,1,0,No
cluster_bomb,Cluster Bomb,"Hurls a bomb that bursts into a ring of fragments.",Rare,projectile,on_swing,,spawn_projectile,on_fire,8,0,No
boomerang_arc,Boomerang Arc,"Throws a blade-arc that returns, hitting foes both ways.",Uncommon,projectile,on_swing,,spawn_projectile,,1,0,No
spectral_echo,Spectral Echo,"A ghostly copy repeats your swing a moment later.",Rare,projectile,on_swing,,spawn_projectile,,1,0,No
tunnel_borer,Tunnel Borer,"Swings blast a wide tunnel through soft terrain.",Uncommon,terrain,on_swing,,carve,,32,0,No
shockwave_stomp,Shockwave Stomp,"Each swing emits a shockwave that knocks foes back.",Uncommon,utility,on_swing,,knockback,,40,0,No
magnet_field,Magnet Field,"Pulls loose gold and drops toward you on every swing.",Common,utility,on_swing,,pull,,48,0,No
repulsor_nova,Repulsor Nova,"A full charge releases a nova that flings enemies away.",Rare,utility,on_charge,,knockback,,80,0,No
concussive_edge,Concussive Edge,"Hits have a chance to stun, briefly halting foes.",Uncommon,trigger,on_hit,,stun,,0.5,0.2,No
midas_touch,Midas Touch,"Slain enemies spill extra gold.",Uncommon,utility,on_kill,,bounty,,5,0,No
steam_burst,Steam Burst,"Striking a wet foe erupts in scalding steam, spreading the burn.",Rare,trigger,on_hit,target_status:wet,apply_status,steam,3,0,No
