id,name,description,rarity,category,trigger,condition,effect,element,magnitude,magnitude2,suppresses_base_use
sharpened,磨锋,"每次攻击+3固定伤害。",Common,stat,passive,,stat_add,damage,3,0,No
heavy_head,重型锤头,"+5伤害，但挥击速度减慢25%。",Common,stat,passive,,stat_add,damage,5,1.25,No
honed_point,精研锋尖,"+15%暴击率。",Uncommon,stat,passive,,stat_add,crit_chance,0.15,0,No
executioners_mark,处刑印记,"暴击额外造成+0.5倍伤害。",Uncommon,stat,passive,,stat_add,crit_multiplier,0.5,0,No
quickdraw,速拔,"挥击提速20%。",Uncommon,stat,passive,,stat_mult,cooldown,0.8,0,No
long_reach,长臂,"武器攻击距离延长30%。",Common,stat,passive,,stat_mult,reach,1.3,0,No
wide_arc,广角弧,"挥击弧度扩宽40%，扫荡更多敌人。",Common,stat,passive,,stat_mult,arc,1.4,0,No
deep_cut,深切,"地形挖掘加深80%——轻松掘土开路。",Uncommon,stat,passive,,stat_mult,carve_depth,1.8,0,No
fleetfoot,疾步,"攻击时移动速度提升15%。",Uncommon,stat,passive,,stat_mult,move_speed,1.15,0,No
frostbreaker,破冰者,"对寒冷或冻结的敌人造成+60%伤害。",Uncommon,trigger,on_hit,target_status:frozen,stat_mult,damage,1.6,0,No
pyroclast,焚石,"对燃烧的敌人造成+50%伤害。",Uncommon,trigger,on_hit,target_status:on_fire,stat_mult,damage,1.5,0,No
coup_de_grace,致命一击,"对生命值低于30%的敌人造成+100%伤害。",Uncommon,trigger,on_hit,target_low_hp,stat_mult,damage,2.0,0.3,No
bloodlust,嗜血,"每次击杀获得可叠加的伤害加成，杀戮停止后消退。",Rare,trigger,on_kill,,stat_add,damage,1,8,No
rampage,狂暴,"连续命中递增伤害；打空则重置连击。",Rare,trigger,on_hit,,stat_add,damage,1,6,No
glass_cannon,玻璃大炮,"满生命值时+80%伤害；一旦受伤立即失去加成。",Rare,trigger,on_hit,self_full_hp,stat_mult,damage,1.8,0,No
vampiric,吸血,"每次击杀回复微量生命值。",Uncommon,trigger,on_kill,,heal,,3,0,No
momentum,动能,"移动速度越快伤害越高——最高+50%。",Uncommon,trigger,on_hit,,stat_mult,damage,1.5,0,No
adrenaline,肾上腺素,"生命值越低挥击越快，最高提速40%。",Rare,trigger,passive,self_low_hp,stat_mult,cooldown,0.6,0,No
combo_keeper,连击守护,"每第五次攻击必定暴击。",Uncommon,trigger,every_n_hits,,stat_add,crit_chance,1.0,5,No
homing_hex,追踪咒弹,"每次挥击释放一枚弯向最近敌人的飞弹。",Uncommon,projectile,on_swing,,spawn_projectile,,1,0,No
chain_spark,连锁火花,"暴击时向附近敌人电弧闪击，有几率造成眩晕。",Rare,projectile,on_crit,,spawn_projectile,lightning,3,0,No
ricochet_shard,弹射碎片,"挥击掷出一枚碎片，撞墙反弹再次攻击。",Uncommon,projectile,on_swing,,spawn_projectile,,1,3,No
piercing_lance,穿透长矛,"释放一支贯穿直线上所有敌人的长矛。",Uncommon,projectile,on_swing,,spawn_projectile,,1,0,No
cluster_bomb,集束炸弹,"投掷一枚炸裂为环状碎片群的炸弹。",Rare,projectile,on_swing,,spawn_projectile,on_fire,8,0,No
boomerang_arc,回旋刃弧,"投出一道返回的刃弧，往返皆伤敌。",Uncommon,projectile,on_swing,,spawn_projectile,,1,0,No
spectral_echo,幽魂回响,"一道幽灵残影在片刻后重复你的挥击。",Rare,projectile,on_swing,,spawn_projectile,,1,0,No
tunnel_borer,隧道钻掘机,"挥击在软质地表中炸开一条宽阔隧道。",Uncommon,terrain,on_swing,,carve,,32,0,No
shockwave_stomp,震波踏,"每次挥击释放一道震退敌人的冲击波。",Uncommon,utility,on_swing,,knockback,,40,0,No
magnet_field,磁力场,"每次挥击将散落的金币和掉落物吸向自己。",Common,utility,on_swing,,pull,,48,0,No
repulsor_nova,排斥新星,"蓄满力释放一道将敌人弹飞的新星。",Rare,utility,on_charge,,knockback,,80,0,No
concussive_edge,震荡刃,"攻击有几率眩晕敌人，使其短暂停顿。",Uncommon,trigger,on_hit,,stun,,0.5,0.2,No
midas_touch,点金手,"被击杀的敌人掉落额外金币。",Uncommon,utility,on_kill,,bounty,,5,0,No
steam_burst,蒸汽爆发,"击中湿润的敌人时爆发滚烫蒸汽，散播灼伤。",Rare,trigger,on_hit,target_status:wet,apply_status,steam,3,0,No
