id,name,description,type,rarity,cooldown,damage,weapon_texture,modifier_slots,pre_attached_modifier1,pre_attached_modifier2,pre_attached_modifier3,crit_chance,crit_multiplier,crit_status,archetype,reach,arc,projectile_speed,projectile_lifetime,spread,projectile_count,projectile_texture,free_carve,hit_status
obsidian_greatsword,Obsidian Greatsword,"Cleaves terrain. Slowest, heaviest swing. 5% crit chance, 3x crit multiplier.",Melee,Rare,0.85,8.0,res://textures/Weapons/sword_01c.png,3,,,,0.05,3.0,,melee,40,130,,,,,,Yes,
venom_fang_blade,Venom Fang Blade,"Long darting lunge. Very fast, light damage.",Melee,Uncommon,0.32,3.0,res://textures/Weapons/sword_01c.png,3,,,,,,,melee,40,50,,,,,,,
tide_caller,Tide Caller,"Critical hits apply Wet status. Vulnerable to freeze and shock.",Melee,Uncommon,0.45,3.5,res://textures/Weapons/sword_01c.png,3,,,,0.15,2.0,wet,melee,30,90,,,,,,,
cinder_brand,Cinder Brand,"25% crit chance. Each crit sets the target on fire.",Melee,Uncommon,0.4,2.5,res://textures/Weapons/sword_01c.png,3,,,,0.25,2.0,on_fire,melee,28,90,,,,,,,
glacier_edge,Glacier Edge,"Heavy blade. Slow swing. 20% chance to freeze on critical.",Melee,Uncommon,0.5,3.5,res://textures/Weapons/sword_01c.png,3,,,,0.2,2.0,chilly,melee,30,100,,,,,,,
thunder_katana,Thunder Katana,"35% crit chance, highest of any weapon.",Melee,Rare,0.38,3.0,res://textures/Weapons/sword_01c.png,3,,,,0.35,2.0,,melee,30,80,,,,,,,
gravedigger_spade,Gravedigger's Spade,"Digs through terrain. Doubles as a blunt weapon.",Melee,Common,0.6,3.5,res://textures/Weapons/sword_01c.png,3,,,,,,,melee,30,100,,,,,,Yes,
reaper_glaive,Reaper's Glaive,"Long reach. Kills restore health.",Melee,Rare,0.55,5.5,res://textures/Weapons/sword_01c.png,3,,,,,,,reaper_glaive,44,100,,,,,,,
berserker_axe,Berserker's Axe,"Damage increases as health decreases.",Melee,Rare,0.6,6.0,res://textures/Weapons/sword_01c.png,3,,,,,,,berserker_axe,34,110,,,,,,,
mirror_blade,Mirror Blade,"Swings deflect incoming projectiles.",Melee,Uncommon,0.45,3.5,res://textures/Weapons/sword_01c.png,3,,,,,,,mirror_blade,30,100,,,,,,,
whirlwind_blade,Whirlwind Blade,"Charged spin strikes every foe around the wielder.",Melee,Uncommon,0.55,4.0,res://textures/Weapons/sword_01c.png,3,,,,,,,whirlwind_blade,30,90,,,,,,,
quake_hammer,Quake Hammer,"Charged slam sends a shockwave outward, flinging back nearby enemies.",Melee,Rare,0.85,8.5,res://textures/Weapons/sword_01c.png,3,,,,,,,quake_hammer,32,110,,,,,,,
soul_reaver,Soul Reaver,"Kills grant a stacking damage bonus. Stacks decay when combat ends.",Melee,Rare,0.5,5.0,res://textures/Weapons/sword_01c.png,3,,,,,,,soul_reaver,34,100,,,,,,,
heavy_crossbow,Heavy Crossbow,"Single bolt pierces through multiple enemies in a line.",Ranged,Uncommon,1.2,7.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_01a.png,3,,,,,,,heavy_crossbow,,,,,,,,,
scatter_blunderbuss,Scatter Blunderbuss,"Wide cone of pellets. Powerful up close, weak at range.",Ranged,Uncommon,1.4,2.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_02a.png,3,,,,,,,ranged,,,140,0.5,60,8,,,
arc_railgun,Arc Railgun,"Charged rail-shot. Pierces everything in a line. Longer charge deals more damage.",Ranged,Rare,1.6,13.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_03a.png,3,,,,,,,arc_railgun,,,,,,,,,
flame_lobber,Flame Lobber,"Lobs pots that shatter into lava pools on impact.",Ranged,Uncommon,1.5,9.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_01e.png,3,lava_emitter,,,,,,flame_lobber,,,,,,,,,
frost_repeater,Frost Repeater,"Fastest fire rate. Weak per shot, but applies freeze.",Ranged,Uncommon,0.6,4.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_01a.png,3,,,,,,,ranged,,,200,2.0,0,1,,,freeze
venom_spitter,Venom Spitter,"Spits globs that leave caustic pools on impact.",Ranged,Uncommon,1.3,8.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_02a.png,3,,,,,,,venom_spitter,,,,,,,,,
tesla_gun,Tesla Gun,"Lightning bolts that chain from foe to foe.",Ranged,Rare,1.1,8.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_03a.png,3,,,,,,,tesla_gun,,,,,,,,,
chakram_launcher,Chakram Launcher,"Spinning chakram flies out and returns. Hits twice per throw.",Ranged,Uncommon,1.2,4.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_01a.png,3,,,,,,,chakram_launcher,,,,,,,,,
seeker_launcher,Seeker Launcher,"Missiles that track and chase targets around cover.",Ranged,Rare,1.5,12.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_03a.png,3,,,,,,,seeker_launcher,,,,,,,,,
hailstorm_bow,Hailstorm Bow,"Single pull fans into a volley of arrows across a wide area.",Ranged,Rare,1.4,4.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_03a.png,3,,,,,,,hailstorm_bow,,,,,,,,,
